year,month,date,hour,minute,second,et,x_cur,y_cur,x_log,y_log,z_log,yaw,bat
2024,11,20,15,30,38,20642.518,1.131,0.022,1.368,0.132,1.007,-0.231,3.135
2024,11,20,15,30,38,20734.853,1.157,0.024,1.394,0.135,1.004,-0.446,3.125
2024,11,20,15,30,38,20834.991,1.178,0.029,1.415,0.139,1.004,-0.464,3.13
2024,11,20,15,30,38,20934.830,1.191,0.03,1.428,0.14,1.004,-0.447,3.135
2024,11,20,15,30,38,21038.660,1.218,0.034,1.455,0.144,1.007,-0.172,3.141
2024,11,20,15,30,38,21136.163,1.239,0.044,1.476,0.154,1.007,0.171,3.141
2024,11,20,15,30,39,21236.980,1.256,0.048,1.494,0.159,1.007,0.528,3.141
2024,11,20,15,30,39,21337.830,1.278,0.057,1.515,0.168,1.004,0.5,3.12
2024,11,20,15,30,39,21434.975,1.296,0.074,1.533,0.185,1.004,0.206,3.125
2024,11,20,15,30,39,21535.807,1.308,0.082,1.545,0.192,1.004,-0.333,3.125
2024,11,20,15,30,39,21638.332,1.331,0.088,1.568,0.198,1.004,-0.844,3.135
2024,11,20,15,30,39,21736.992,1.359,0.093,1.597,0.204,1.002,-1.032,3.125
2024,11,20,15,30,39,21836.630,1.379,0.091,1.616,0.202,1.002,-1.028,3.13
2024,11,20,15,30,39,21934.085,1.405,0.088,1.643,0.198,1.004,-1.016,3.135
2024,11,20,15,30,39,22035.115,1.425,0.084,1.662,0.195,1.006,-1.214,3.135
2024,11,20,15,30,39,22134.998,1.449,0.083,1.686,0.193,1.01,-1.301,3.151
2024,11,20,15,30,40,22236.625,1.483,0.082,1.72,0.192,1.01,-1.034,3.141
2024,11,20,15,30,40,22333.840,1.522,0.079,1.76,0.189,1.006,-0.349,3.114
2024,11,20,15,30,40,22433.543,0.0,0.0,1.784,0.187,1.004,0.137,3.114
2024,11,20,15,30,40,22537.409,0.01,0.011,1.794,0.198,1.001,0.662,3.12
2024,11,20,15,30,40,22633.912,0.012,0.003,1.795,0.19,1.003,0.941,3.12
2024,11,20,15,30,40,22734.073,-0.006,0.003,1.778,0.19,0.998,1.341,3.088
2024,11,20,15,30,40,22838.094,-0.014,0.008,1.77,0.195,0.992,1.603,3.062
2024,11,20,15,30,40,22933.393,-0.031,0.007,1.753,0.193,0.996,1.329,3.088
2024,11,20,15,30,40,23034.198,-0.053,0.007,1.731,0.194,0.999,0.713,3.135
2024,11,20,15,30,40,23132.545,-0.059,0.0,1.724,0.187,1.002,0.196,3.13
2024,11,20,15,30,41,23239.448,-0.07,-0.003,1.714,0.184,1.011,0.023,3.157
2024,11,20,15,30,41,23334.893,-0.079,-0.007,1.704,0.18,1.017,0.071,3.146
2024,11,20,15,30,41,23432.309,-0.083,-0.014,1.701,0.173,1.018,0.285,3.146
2024,11,20,15,30,41,23535.588,-0.078,-0.019,1.706,0.168,1.017,0.689,3.125
2024,11,20,15,30,41,23632.704,-0.064,-0.024,1.72,0.163,1.014,1.146,3.12
2024,11,20,15,30,41,23741.700,-0.055,-0.022,1.729,0.165,1.01,1.714,3.109
2024,11,20,15,30,41,23834.576,-0.053,-0.018,1.731,0.169,1.006,2.151,3.093
2024,11,20,15,30,41,23932.666,-0.054,-0.013,1.73,0.174,1.002,2.24,3.099
2024,11,20,15,30,41,24032.064,-0.059,-0.003,1.725,0.184,1.001,2.225,3.099
2024,11,20,15,30,41,24133.127,-0.058,-0.002,1.726,0.185,0.997,2.268,3.093
2024,11,20,15,30,42,24237.319,-0.052,-0.012,1.732,0.175,0.996,2.534,3.072
2024,11,20,15,30,42,24333.174,-0.048,-0.014,1.736,0.173,0.99,3.119,3.072
2024,11,20,15,30,42,24431.937,0.0,0.0,1.744,0.164,0.989,3.729,3.077
2024,11,20,15,30,42,24533.615,0.004,0.009,1.747,0.173,0.991,4.409,3.099
2024,11,20,15,30,42,24633.395,-0.001,0.007,1.743,0.171,0.99,4.923,3.093
2024,11,20,15,30,42,24735.848,-0.003,-0.003,1.741,0.161,0.989,5.264,3.077
2024,11,20,15,30,42,24834.458,-0.002,-0.026,1.742,0.138,0.987,5.419,3.056
2024,11,20,15,30,42,24932.531,-0.001,-0.06,1.743,0.104,0.984,5.179,3.051
2024,11,20,15,30,42,25031.650,0.008,-0.088,1.752,0.077,0.985,4.917,3.062
2024,11,20,15,30,42,25132.033,0.011,-0.115,1.755,0.049,0.99,4.438,3.083
2024,11,20,15,30,43,25232.130,0.013,-0.136,1.757,0.028,0.995,3.708,3.088
2024,11,20,15,30,43,25331.849,0.024,-0.161,1.768,0.003,0.998,2.796,3.083
2024,11,20,15,30,43,25431.833,0.027,-0.178,1.77,-0.014,1.001,1.588,3.093
2024,11,20,15,30,43,25534.905,0.029,-0.182,1.773,-0.018,1.003,0.059,3.083
2024,11,20,15,30,43,25633.229,0.028,-0.209,1.772,-0.044,1.005,-1.404,3.088
2024,11,20,15,30,43,25734.292,0.034,-0.223,1.778,-0.059,1.006,-2.659,3.104
2024,11,20,15,30,43,25833.499,0.035,-0.249,1.779,-0.084,1.009,-3.934,3.104
2024,11,20,15,30,43,25931.482,0.037,-0.269,1.78,-0.105,1.007,-4.905,3.093
2024,11,20,15,30,43,26032.222,0.035,-0.286,1.779,-0.122,1.008,-5.687,3.077
2024,11,20,15,30,43,26130.641,0.042,-0.295,1.785,-0.131,1.012,-5.809,3.109
2024,11,20,15,30,44,26232.338,0.041,-0.311,1.784,-0.146,1.015,-5.515,3.125
2024,11,20,15,30,44,26335.608,0.04,-0.32,1.784,-0.155,1.012,-5.414,3.109
2024,11,20,15,30,44,26430.410,0.048,-0.339,1.791,-0.174,1.008,-6.174,3.062
2024,11,20,15,30,44,26531.961,0.056,-0.358,1.799,-0.193,1.004,-7.346,3.062
2024,11,20,15,30,44,26630.314,0.055,-0.371,1.798,-0.207,0.995,-8.585,3.072
2024,11,20,15,30,44,26732.596,0.059,-0.376,1.802,-0.212,0.995,-9.907,3.072
2024,11,20,15,30,44,26831.133,0.061,-0.38,1.805,-0.216,0.997,-10.976,3.093
2024,11,20,15,30,44,26931.815,0.063,-0.384,1.807,-0.22,1.001,-11.852,3.099
2024,11,20,15,30,44,27032.255,0.06,-0.397,1.804,-0.232,1.0,-11.993,3.099
2024,11,20,15,30,44,27129.786,0.042,-0.43,1.785,-0.266,1.0,-11.581,3.083
2024,11,20,15,30,45,27232.689,0.039,-0.445,1.783,-0.281,0.996,-10.661,3.083
2024,11,20,15,30,45,27330.013,0.039,-0.469,1.783,-0.304,0.993,-9.188,3.056
2024,11,20,15,30,45,27430.395,0.041,-0.487,1.784,-0.322,0.989,-7.616,3.067
2024,11,20,15,30,45,27530.483,0.039,-0.497,1.783,-0.333,0.985,-6.415,3.056
2024,11,20,15,30,45,27631.418,0.033,-0.508,1.777,-0.343,0.986,-5.539,3.072
2024,11,20,15,30,45,27729.651,0.031,-0.511,1.775,-0.347,0.99,-4.656,3.093
2024,11,20,15,30,45,27830.714,0.026,-0.511,1.77,-0.346,0.998,-3.891,3.114
2024,11,20,15,30,45,27933.899,0.024,-0.518,1.768,-0.353,1.002,-3.156,3.099
2024,11,20,15,30,45,28032.534,0.023,-0.55,1.767,-0.386,1.003,-2.778,3.093
2024,11,20,15,30,45,28129.547,0.013,-0.567,1.757,-0.403,0.999,-2.646,3.056
2024,11,20,15,30,46,28231.135,0.009,-0.583,1.753,-0.419,0.997,-2.444,3.077
2024,11,20,15,30,46,28330.489,0.004,-0.606,1.748,-0.441,1.001,-1.77,3.077
2024,11,20,15,30,46,28429.277,-0.003,-0.629,1.74,-0.465,1.003,-0.869,3.093
2024,11,20,15,30,46,28541.052,-0.012,-0.653,1.732,-0.489,1.002,0.152,3.077
2024,11,20,15,30,46,28629.458,-0.03,-0.672,1.714,-0.508,1.002,0.962,3.067
2024,11,20,15,30,46,28732.198,-0.05,-0.684,1.693,-0.519,0.999,1.78,3.067
2024,11,20,15,30,46,28829.330,-0.061,-0.701,1.683,-0.537,0.999,2.62,3.072
2024,11,20,15,30,46,28929.474,-0.062,-0.718,1.681,-0.553,0.999,3.29,3.067
2024,11,20,15,30,46,29029.452,-0.066,-0.742,1.678,-0.578,0.998,3.456,3.062
2024,11,20,15,30,46,29130.583,-0.063,-0.764,1.681,-0.599,1.003,3.201,3.077
2024,11,20,15,30,47,29229.698,-0.053,-0.785,1.691,-0.621,1.006,2.538,3.104
2024,11,20,15,30,47,29328.535,-0.053,-0.806,1.691,-0.642,1.007,1.556,3.093
2024,11,20,15,30,47,29428.496,-0.047,-0.83,1.697,-0.666,1.009,0.645,3.093
